,FECHA,DESDE,HASTA,LINEA,MOLINETE,ESTACION,pax_pagos,pax_pases_pagos,pax_franq,pax_TOTAL
500951,26/8/2022,22:45:00,23:00:00,LineaA,LineaA_Acoyte_S_Turn02,Acoyte,1,0,0,1
124753,7/8/2022,11:15:00,11:30:00,LineaC,LineaC_Retiro_Turn01,Retiro,1,0,0,1
124059,7/8/2022,10:30:00,10:45:00,LineaC,LineaC_Retiro_Turn03,Retiro,6,0,0,6
137867,8/8/2022,07:00:00,07:15:00,LineaA,LineaA_PMayo_E_Turn03,Plaza de Mayo,17,0,4,21
115643,6/8/2022,17:45:00,18:00:00,LineaA,LineaA_Flores_Oeste_Turn02,Flores,2,0,0,2
542385,29/8/2022,12:00:00,12:15:00,LineaA,LineaA_Piedras_S_Turn01,Piedras,24,0,1,25
207493,11/8/2022,13:45:00,14:00:00,LineaA,LineaA_Lima_S_Turn03,Lima,27,0,0,27
142639,8/8/2022,11:00:00,11:15:00,LineaB,LineaB_CallaoB_S_Turn02,Callao.B,34,0,7,41
358040,19/8/2022,15:45:00,16:00:00,LineaA,LineaA_PMayo_O_Turn04,Plaza de Mayo,24,0,1,25
436060,23/8/2022,19:30:00,19:45:00,LineaA,LineaA_SnzPena_S_Turn02,Saenz Peña ,19,0,0,19
244940,13/8/2022,11:45:00,12:00:00,LineaB,LineaB_LosIncas_Turn02,Los Incas,15,0,0,15
568811,30/8/2022,17:15:00,17:30:00,LineaA,LineaA_Peru_N_Turn01,Peru,19,0,0,19
11815,1/8/2022,15:30:00,15:45:00,LineaA,LineaA_Acoyte_N_Turn01,Acoyte,19,0,1,20
517187,27/8/2022,20:45:00,21:00:00,LineaB,LineaB_Pasteur_S_Turn01,Pasteur,6,0,0,6
557897,30/8/2022,08:00:00,08:15:00,LineaB,LineaB_JMRosas_Oeste_Turn06,Rosas,98,0,4,102
292180,16/8/2022,10:15:00,10:30:00,LineaB,LineaB_CallaoB_S_Turn03,Callao.B,9,0,0,9
481463,26/8/2022,06:15:00,06:30:00,LineaA,LineaA_Flores_Este_Turn03,Flores,12,0,0,12
571097,30/8/2022,19:00:00,19:15:00,LineaB,LineaB_JMRosas_Oeste_Turn05,Rosas,2,0,1,3
63798,4/8/2022,07:30:00,07:45:00,LineaB,LineaB_Echeverria_Oeste_Turn02,Echeverria,35,0,3,38
272913,15/8/2022,08:00:00,08:15:00,LineaA,LineaA_Peru_S_Turn03,Peru,0,0,1,1
72559,4/8/2022,14:45:00,15:00:00,LineaB,LineaB_Pueyr_S_Turn01,Pueyrredon,18,0,0,18
356778,19/8/2022,14:45:00,15:00:00,LineaB,LineaB_Pueyr_S_Turn01,Pueyrredon,33,0,0,33
46657,3/8/2022,10:15:00,10:30:00,LineaA,LineaA_CBarros_S_Turn02,Castro Barros,10,0,2,12
79898,4/8/2022,20:45:00,21:00:00,LineaA,LineaA_SnzPena_S_Turn02,Saenz Peña ,15,0,0,15
308511,17/8/2022,06:45:00,07:00:00,LineaB,LineaB_Echeverria_Oeste_Turn03,Echeverria,21,0,2,23
2778,1/8/2022,08:00:00,08:15:00,LineaA,LineaA_SanPedrito_Oeste_Turn02,San Pedrito,97,0,4,101
112506,6/8/2022,14:45:00,15:00:00,LineaB,LineaB_LosIncas_Turn02,Los Incas,18,0,0,18
469628,25/8/2022,13:30:00,13:45:00,LineaA,LineaA_Carabobo_E_Turn01,Carabobo,7,0,0,7
493736,26/8/2022,16:30:00,16:45:00,LineaB,LineaB_Florida_E_Turn01,Florida,49,0,0,49
128045,7/8/2022,14:30:00,14:45:00,LineaB,LineaB_Echeverria_Este_Turn02,Echeverria,8,0,0,8
309173,17/8/2022,07:15:00,07:30:00,LineaB,LineaB_Gardel_S_Turn02,Carlos Gardel,6,0,2,8
532985,28/8/2022,20:30:00,20:45:00,LineaB,LineaB_LosIncas_Turn03,Los Incas,4,0,0,4
517162,27/8/2022,20:45:00,21:00:00,LineaC,LineaC_Retiro_Turn08,Retiro,20,0,0,20
555979,30/8/2022,06:15:00,06:30:00,LineaA,LineaA_Flores_Oeste_Turn02,Flores,7,0,0,7
257393,13/8/2022,23:30:00,23:45:00,LineaB,LineaB_Pueyr_N_Turn01,Pueyrredon,1,0,0,1
348223,19/8/2022,07:30:00,07:45:00,LineaA,LineaA_CBarros_S_Turn02,Castro Barros,12,1,2,15
334610,18/8/2022,13:15:00,13:30:00,LineaA,LineaA_SnzPena_S_Turn02,Saenz Peña ,21,0,1,22
543111,29/8/2022,12:45:00,13:00:00,LineaA,LineaA_Puan_O_Turn01,Puan,28,0,5,33
143104,8/8/2022,11:30:00,11:45:00,LineaC,LineaC_AVMayo_S_Turn02,Avenida de Mayo,10,0,0,10
196710,10/8/2022,22:00:00,22:15:00,LineaA,LineaA_Acoyte_N_Turn01,Acoyte,6,0,1,7
91353,5/8/2022,13:15:00,13:30:00,LineaC,LineaC_Moreno_S_Turn03,Mariano Moreno,15,0,0,15
451179,24/8/2022,15:00:00,15:15:00,LineaA,LineaA_PJunta_N_Turn01,Primera Junta,17,0,1,18
504298,27/8/2022,08:45:00,09:00:00,LineaB,LineaB_Dorrego_S_Turn01,Dorrego,10,0,0,10
127997,7/8/2022,14:15:00,14:30:00,LineaC,LineaC_Constitucion_Turn15,Constitucion,68,0,0,68
214623,11/8/2022,19:30:00,19:45:00,LineaA,LineaA_Alberti_Turn01,Alberti,6,0,4,10
421793,23/8/2022,07:30:00,07:45:00,LineaA,LineaA_Loria_N_Turn02,Loria,16,0,2,18
244739,13/8/2022,11:30:00,11:45:00,LineaA,LineaA_Carabobo_E_Turn01,Carabobo,6,0,0,6
311491,17/8/2022,09:15:00,09:30:00,LineaC,LineaC_Lavalle_S_Turn02,Lavalle,19,0,0,19
336404,18/8/2022,14:45:00,15:00:00,LineaC,LineaC_DNorte_S_Turn01,Diagonal Norte,25,0,0,25
469620,25/8/2022,13:30:00,13:45:00,LineaB,LineaB_Pueyr_N_Turn03,Pueyrredon,22,0,1,23
306037,16/8/2022,22:00:00,22:15:00,LineaB,LineaB_Malabia_N_Turn03,Malabia,5,0,0,5
593904,31/8/2022,21:15:00,21:30:00,LineaA,LineaA_PMayo_E_Turn02,Plaza de Mayo,28,0,2,30
56220,3/8/2022,18:15:00,18:30:00,LineaA,LineaA_SnzPena_N_Turn02,Saenz Peña ,21,0,0,21
42073,3/8/2022,06:30:00,06:45:00,LineaA,LineaA_PMayo_E_Turn01,Plaza de Mayo,16,0,0,16
162595,9/8/2022,10:30:00,10:45:00,LineaC,LineaC_Constitucion_Plaza_Turn10,Constitucion,48,0,0,48
31073,2/8/2022,14:30:00,14:45:00,LineaA,LineaA_Lima_S_Turn01,Lima,32,0,2,34
313334,17/8/2022,10:45:00,11:00:00,LineaA,LineaA_Loria_N_Turn03,Loria,12,0,0,12
188925,10/8/2022,15:15:00,15:30:00,LineaA,LineaA_Acoyte_N_Asc01,Acoyte,1,0,0,1
125928,7/8/2022,12:15:00,12:30:00,LineaA,LineaA_Acoyte_S_Turn01,Acoyte,8,0,0,8
15346,1/8/2022,18:30:00,18:45:00,LineaA,LineaA_SanPedrito_Este_Turn01,San Pedrito,20,0,0,20
394500,21/8/2022,17:30:00,17:45:00,LineaA,LineaA_Acoyte_N_Turn03,Acoyte,5,0,0,5
580493,31/8/2022,09:45:00,10:00:00,LineaA,LineaA_Piedras_N_Turn01,Piedras,2,0,0,2
